Year,Année,ISO,Jurisdiction,Juridiction,Management,Aménagement,Harvesting method,Méthode de récolte,Tenure (En),Tenure (Fr),Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1975,1975,ON,Ontario,Ontario,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1975,1975,ON,Ontario,Ontario,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1975,1975,PE,Prince Edward Island,Île-du-Prince-Édouard,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1975,1975,QC,Quebec,Québec,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1975,1975,QC,Quebec,Québec,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1975,1975,SK,Saskatchewan,Saskatchewan,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1975,1975,SK,Saskatchewan,Saskatchewan,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1975,1975,YT,Yukon,Yukon,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1975,1975,YT,Yukon,Yukon,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1976,1976,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1976,1976,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1976,1976,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Clearcut - 1-stage and 2-stage,Coupe à blanc - 1-étape et 2-étape,Provincial land,Terres provinciales,21009,a,21009,a
1976,1976,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Seed tree,Avec réserve de semenciers,Provincial land,Terres provinciales,0,a,0,a
1976,1976,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Shelterwood,Progressive,Provincial land,Terres provinciales,460,a,460,a
1976,1976,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Selection,Coupe de jardinage,Provincial land,Terres provinciales,0,a,0,a
1976,1976,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Commercial thinning,Éclaircie commerciale,Provincial land,Terres provinciales,0,a,0,a
1976,1976,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1976,1976,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1976,1976,BC,British Columbia,Colombie-Britannique,Uneven-aged management,Aménagement inéquienne,Selection,Coupe de jardinage,Unspecified,Indéterminée,28055,E,28055,E
1976,1976,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Unspecified,Indéterminée,Unspecified,Indéterminée,147897,a,147897,a
1976,1976,MB,Manitoba,Manitoba,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1976,1976,MB,Manitoba,Manitoba,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1976,1976,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1976,1976,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1976,1976,NS,Nova Scotia,Nouvelle-Écosse,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1976,1976,NS,Nova Scotia,Nouvelle-Écosse,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1976,1976,NT,Northwest Territories,Territoires du Nord-Ouest,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1976,1976,NT,Northwest Territories,Territoires du Nord-Ouest,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1976,1976,ON,Ontario,Ontario,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1976,1976,ON,Ontario,Ontario,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1976,1976,PE,Prince Edward Island,Île-du-Prince-Édouard,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1976,1976,PE,Prince Edward Island,Île-du-Prince-Édouard,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1976,1976,QC,Quebec,Québec,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1976,1976,QC,Quebec,Québec,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1976,1976,SK,Saskatchewan,Saskatchewan,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1976,1976,SK,Saskatchewan,Saskatchewan,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1976,1976,YT,Yukon,Yukon,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1976,1976,YT,Yukon,Yukon,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1977,1977,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1977,1977,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1977,1977,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Clearcut - 1-stage and 2-stage,Coupe à blanc - 1-étape et 2-étape,Provincial land,Terres provinciales,22273,a,22273,a
1977,1977,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Seed tree,Avec réserve de semenciers,Provincial land,Terres provinciales,0,a,0,a
1977,1977,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Shelterwood,Progressive,Provincial land,Terres provinciales,126,a,126,a
1977,1977,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Selection,Coupe de jardinage,Provincial land,Terres provinciales,0,a,0,a
1977,1977,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Commercial thinning,Éclaircie commerciale,Provincial land,Terres provinciales,0,a,0,a
1977,1977,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1977,1977,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1977,1977,BC,British Columbia,Colombie-Britannique,Uneven-aged management,Aménagement inéquienne,Selection,Coupe de jardinage,Unspecified,Indéterminée,25912,E,25912,E
1977,1977,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Unspecified,Indéterminée,Unspecified,Indéterminée,140169,a,140169,a
1977,1977,MB,Manitoba,Manitoba,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1977,1977,MB,Manitoba,Manitoba,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1977,1977,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1977,1977,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1977,1977,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1977,1977,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1977,1977,NS,Nova Scotia,Nouvelle-Écosse,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1977,1977,NS,Nova Scotia,Nouvelle-Écosse,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1977,1977,NT,Northwest Territories,Territoires du Nord-Ouest,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1977,1977,NT,Northwest Territories,Territoires du Nord-Ouest,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1977,1977,ON,Ontario,Ontario,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1977,1977,ON,Ontario,Ontario,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1977,1977,PE,Prince Edward Island,Île-du-Prince-Édouard,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1977,1977,PE,Prince Edward Island,Île-du-Prince-Édouard,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1977,1977,QC,Quebec,Québec,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1977,1977,QC,Quebec,Québec,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1977,1977,SK,Saskatchewan,Saskatchewan,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1977,1977,SK,Saskatchewan,Saskatchewan,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1977,1977,YT,Yukon,Yukon,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1977,1977,YT,Yukon,Yukon,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1978,1978,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1978,1978,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1978,1978,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Clearcut - 1-stage and 2-stage,Coupe à blanc - 1-étape et 2-étape,Provincial land,Terres provinciales,25587,a,25587,a
1978,1978,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Seed tree,Avec réserve de semenciers,Provincial land,Terres provinciales,0,a,0,a
1978,1978,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Shelterwood,Progressive,Provincial land,Terres provinciales,14,a,14,a
1978,1978,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Selection,Coupe de jardinage,Provincial land,Terres provinciales,0,a,0,a
1978,1978,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Commercial thinning,Éclaircie commerciale,Provincial land,Terres provinciales,0,a,0,a
1978,1978,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1978,1978,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1978,1978,BC,British Columbia,Colombie-Britannique,Uneven-aged management,Aménagement inéquienne,Selection,Coupe de jardinage,Unspecified,Indéterminée,27713,E,27713,E
1978,1978,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Unspecified,Indéterminée,Unspecified,Indéterminée,168820,a,168820,a
1978,1978,MB,Manitoba,Manitoba,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1978,1978,MB,Manitoba,Manitoba,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1978,1978,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1978,1978,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1978,1978,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1978,1978,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1978,1978,NS,Nova Scotia,Nouvelle-Écosse,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1978,1978,NS,Nova Scotia,Nouvelle-Écosse,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1978,1978,NT,Northwest Territories,Territoires du Nord-Ouest,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1978,1978,NT,Northwest Territories,Territoires du Nord-Ouest,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1978,1978,ON,Ontario,Ontario,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1978,1978,ON,Ontario,Ontario,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1978,1978,PE,Prince Edward Island,Île-du-Prince-Édouard,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1978,1978,PE,Prince Edward Island,Île-du-Prince-Édouard,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1978,1978,QC,Quebec,Québec,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1978,1978,QC,Quebec,Québec,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1978,1978,SK,Saskatchewan,Saskatchewan,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1978,1978,SK,Saskatchewan,Saskatchewan,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1978,1978,YT,Yukon,Yukon,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1978,1978,YT,Yukon,Yukon,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1979,1979,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1979,1979,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1979,1979,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Clearcut - 1-stage and 2-stage,Coupe à blanc - 1-étape et 2-étape,Provincial land,Terres provinciales,25994,a,25994,a
1979,1979,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Seed tree,Avec réserve de semenciers,Provincial land,Terres provinciales,0,a,0,a
1979,1979,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Shelterwood,Progressive,Provincial land,Terres provinciales,12,a,12,a
1979,1979,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Selection,Coupe de jardinage,Provincial land,Terres provinciales,0,a,0,a
1979,1979,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Commercial thinning,Éclaircie commerciale,Provincial land,Terres provinciales,0,a,0,a
1979,1979,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1979,1979,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1979,1979,BC,British Columbia,Colombie-Britannique,Uneven-aged management,Aménagement inéquienne,Selection,Coupe de jardinage,Unspecified,Indéterminée,30152,E,30152,E
1979,1979,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Unspecified,Indéterminée,Unspecified,Indéterminée,157395,a,157395,a
1979,1979,MB,Manitoba,Manitoba,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1979,1979,MB,Manitoba,Manitoba,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1979,1979,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1979,1979,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1979,1979,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1979,1979,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1979,1979,NS,Nova Scotia,Nouvelle-Écosse,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1979,1979,NS,Nova Scotia,Nouvelle-Écosse,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1979,1979,NT,Northwest Territories,Territoires du Nord-Ouest,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1979,1979,NT,Northwest Territories,Territoires du Nord-Ouest,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1979,1979,ON,Ontario,Ontario,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1979,1979,ON,Ontario,Ontario,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1979,1979,PE,Prince Edward Island,Île-du-Prince-Édouard,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1979,1979,PE,Prince Edward Island,Île-du-Prince-Édouard,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1979,1979,QC,Quebec,Québec,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1979,1979,QC,Quebec,Québec,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1979,1979,SK,Saskatchewan,Saskatchewan,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1979,1979,SK,Saskatchewan,Saskatchewan,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1979,1979,YT,Yukon,Yukon,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1979,1979,YT,Yukon,Yukon,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1980,1980,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1980,1980,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1980,1980,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Clearcut - 1-stage and 2-stage,Coupe à blanc - 1-étape et 2-étape,Provincial land,Terres provinciales,32278,a,32278,a
1980,1980,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Seed tree,Avec réserve de semenciers,Provincial land,Terres provinciales,0,a,0,a
1980,1980,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Shelterwood,Progressive,Provincial land,Terres provinciales,2,a,2,a
1980,1980,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Selection,Coupe de jardinage,Provincial land,Terres provinciales,0,a,0,a
1980,1980,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Commercial thinning,Éclaircie commerciale,Provincial land,Terres provinciales,0,a,0,a
1980,1980,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1980,1980,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1980,1980,BC,British Columbia,Colombie-Britannique,Uneven-aged management,Aménagement inéquienne,Selection,Coupe de jardinage,Unspecified,Indéterminée,31048,E,31048,E
1980,1980,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Unspecified,Indéterminée,Unspecified,Indéterminée,156786,a,156786,a
1980,1980,MB,Manitoba,Manitoba,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1980,1980,MB,Manitoba,Manitoba,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1980,1980,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1980,1980,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1980,1980,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1980,1980,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1980,1980,NS,Nova Scotia,Nouvelle-Écosse,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1980,1980,NS,Nova Scotia,Nouvelle-Écosse,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1980,1980,NT,Northwest Territories,Territoires du Nord-Ouest,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1980,1980,NT,Northwest Territories,Territoires du Nord-Ouest,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1980,1980,ON,Ontario,Ontario,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1980,1980,ON,Ontario,Ontario,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1980,1980,PE,Prince Edward Island,Île-du-Prince-Édouard,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1980,1980,PE,Prince Edward Island,Île-du-Prince-Édouard,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1980,1980,QC,Quebec,Québec,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1980,1980,QC,Quebec,Québec,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1980,1980,SK,Saskatchewan,Saskatchewan,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1980,1980,SK,Saskatchewan,Saskatchewan,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1980,1980,YT,Yukon,Yukon,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1980,1980,YT,Yukon,Yukon,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1981,1981,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1981,1981,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1981,1981,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Clearcut - 1-stage and 2-stage,Coupe à blanc - 1-étape et 2-étape,Provincial land,Terres provinciales,31135,a,31135,a
1981,1981,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Seed tree,Avec réserve de semenciers,Provincial land,Terres provinciales,0,a,0,a
1981,1981,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Shelterwood,Progressive,Provincial land,Terres provinciales,193,a,193,a
1981,1981,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Selection,Coupe de jardinage,Provincial land,Terres provinciales,0,a,0,a
1981,1981,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Commercial thinning,Éclaircie commerciale,Provincial land,Terres provinciales,0,a,0,a
1981,1981,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
